DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
164,86,8.710853658536585,7.471341463414633,36.4581167532987%,3.9451219512195124,[21.3, 35.3],27.72
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,67|,R67P2|,39.18032786885246%|,12.069999999999999|,9.899999999999999|,['F1']|,[13, 33, 42, 28, 22]|
APPROVED|,68|,R68P1|,22.95081967213115%|,4.6899999999999995|,3.2|,['F4', 'F2']|,[50, 19]|
DENIED|,69|,NONE|,NONE|,0|,0|,['F5', 'F1', 'F2', 'F3']|,src=43|, dest=1|
APPROVED|,70|,R70P1|,45.73770491803279%|,5.74|,5.3|,['F1']|,[30, 36, 29]|
APPROVED|,71|,R71P1|,30.327868852459016%|,7.1899999999999995|,7.1000000000000005|,['F2', 'F5', 'F1', 'F4']|,[35, 27, 41, 20]|
APPROVED|,72|,R72P1|,50.98360655737705%|,4.92|,3.4|,['F1', 'F2', 'F3', 'F4']|,[47, 49]|
APPROVED|,73|,R73P2|,45.47540983606558%|,7.95|,10.000000000000002|,['F2', 'F3', 'F1', 'F5']|,[17, 21, 9, 34, 4]|
APPROVED|,74|,R74P2|,44.8360655737705%|,8.899999999999999|,7.800000000000001|,['F1', 'F4', 'F2']|,[11, 23, 34, 8]|
APPROVED|,75|,R75P1|,20.737704918032783%|,7.29|,7.5|,['F5', 'F3']|,[32, 31, 39, 14]|
APPROVED|,76|,R76P1|,32.049180327868854%|,5.98|,7.599999999999999|,['F1']|,[23, 34, 4, 40]|
APPROVED|,77|,R77P1|,35.73770491803279%|,7.1899999999999995|,8.0|,['F2', 'F5', 'F3', 'F1']|,[23, 11, 3, 17]|
APPROVED|,78|,R78P2|,33.52459016393443%|,8.129999999999999|,7.4|,['F3']|,[5, 29, 27, 41]|
APPROVED|,79|,R79P1|,17.147540983606557%|,10.58|,9.5|,['F2', 'F3', 'F1']|,[7, 31, 40, 16, 49]|
DENIED|,80|,NONE|,NONE|,0|,0|,['F2', 'F4']|,src=38|, dest=18|
APPROVED|,81|,R81P1|,24.91803278688525%|,10.63|,7.7|,['F4', 'F1', 'F2']|,[16, 49, 19, 50]|
APPROVED|,82|,R82P1|,30.655737704918028%|,9.4|,5.3999999999999995|,['F2', 'F4', 'F3', 'F1', 'F5']|,[9, 10, 19]|
APPROVED|,83|,R83P4|,41.540983606557376%|,6.950000000000001|,9.799999999999999|,['F5']|,[11, 3, 17, 21, 33]|
APPROVED|,84|,R84P1|,13.114754098360656%|,6.98|,7.1000000000000005|,['F2', 'F5', 'F3', 'F4', 'F1']|,[35, 40, 31, 7]|
APPROVED|,85|,R85P1|,44.59016393442623%|,10.19|,7.9|,['F2', 'F3', 'F5', 'F1']|,[6, 8, 34, 4]|
APPROVED|,86|,R86P1|,24.26229508196721%|,10.969999999999999|,11.700000000000001|,['F2', 'F5', 'F4']|,[14, 39, 31, 40, 35, 27]|
APPROVED|,87|,R87P1|,33.77049180327869%|,9.13|,7.3999999999999995|,['F4', 'F2', 'F1', 'F5']|,[36, 30, 15, 35]|
APPROVED|,88|,R88P3|,37.704918032786885%|,9.96|,7.0|,['F3', 'F2', 'F4', 'F1', 'F5']|,[12, 40, 4, 26]|
APPROVED|,89|,R89P1|,42.62295081967213%|,9.719999999999999|,7.5|,['F1', 'F5', 'F2']|,[46, 20, 11, 23]|
DENIED|,90|,NONE|,NONE|,0|,0|,['F5', 'F4', 'F3']|,src=8|, dest=31|
DENIED|,91|,NONE|,NONE|,0|,0|,['F3', 'F5', 'F2']|,src=29|, dest=47|
APPROVED|,92|,R92P3|,39.91803278688524%|,8.08|,7.6|,['F1']|,[4, 26, 28, 46]|
APPROVED|,93|,R93P1|,26.59016393442623%|,12.53|,9.8|,['F2', 'F5', 'F3', 'F1', 'F4']|,[4, 40, 12, 24, 48]|
DENIED|,94|,NONE|,NONE|,0|,0|,['F1', 'F5', 'F3']|,src=26|, dest=4|
APPROVED|,95|,R95P3|,32.295081967213115%|,9.33|,7.5|,['F4', 'F2']|,[44, 6, 8, 19]|
