DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
50,200,14.875000000000005,12.68,44.33259953161593%,6.26,[12.23, 26.23],145.775
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
DENIED|,68|,NONE|,NONE|,0|,0|,['F2', 'F4', 'F5', 'F1', 'F3']|,src=21|, dest=266|
APPROVED|,69|,R69P1|,38.41530054644808%|,10.27|,9.799999999999999|,['F1', 'F4']|,[244, 382, 336, 318, 54]|
DENIED|,70|,NONE|,NONE|,0|,0|,['F2', 'F4', 'F5']|,src=164|, dest=160|
DENIED|,71|,NONE|,NONE|,0|,0|,['F4', 'F2', 'F5', 'F3', 'F1']|,src=103|, dest=76|
DENIED|,72|,NONE|,NONE|,0|,0|,['F1', 'F5', 'F3', 'F2', 'F4']|,src=141|, dest=150|
DENIED|,73|,NONE|,NONE|,0|,0|,['F3']|,src=141|, dest=132|
DENIED|,74|,NONE|,NONE|,0|,0|,['F5']|,src=26|, dest=143|
DENIED|,75|,NONE|,NONE|,0|,0|,['F5', 'F4', 'F1', 'F3']|,src=116|, dest=114|
DENIED|,76|,NONE|,NONE|,0|,0|,['F4', 'F5']|,src=217|, dest=36|
DENIED|,77|,NONE|,NONE|,0|,0|,['F5']|,src=259|, dest=174|
DENIED|,78|,NONE|,NONE|,0|,0|,['F5', 'F2', 'F4']|,src=295|, dest=145|
DENIED|,79|,NONE|,NONE|,0|,0|,['F5', 'F4', 'F3']|,src=70|, dest=202|
DENIED|,80|,NONE|,NONE|,0|,0|,['F1', 'F2']|,src=186|, dest=106|
DENIED|,81|,NONE|,NONE|,0|,0|,['F5', 'F2', 'F3', 'F1', 'F4']|,src=205|, dest=214|
DENIED|,82|,NONE|,NONE|,0|,0|,['F4']|,src=95|, dest=270|
DENIED|,83|,NONE|,NONE|,0|,0|,['F3']|,src=165|, dest=153|
APPROVED|,84|,R84P2|,31.049180327868847%|,17.04|,14.100000000000001|,['F3', 'F1']|,[171, 357, 353, 352, 320, 361, 181]|
APPROVED|,85|,R85P2|,57.213114754098356%|,17.19|,14.0|,['F2']|,[12, 304, 340, 353, 358, 391, 272]|
DENIED|,86|,NONE|,NONE|,0|,0|,['F3', 'F4']|,src=191|, dest=221|
DENIED|,87|,NONE|,NONE|,0|,0|,['F4', 'F5']|,src=267|, dest=177|
APPROVED|,88|,R88P3|,52.49180327868853%|,17.990000000000002|,13.9|,['F3', 'F2', 'F4']|,[28, 310, 370, 363, 381, 316, 46]|
DENIED|,89|,NONE|,NONE|,0|,0|,['F1']|,src=55|, dest=141|
DENIED|,90|,NONE|,NONE|,0|,0|,['F2', 'F5', 'F1', 'F4']|,src=169|, dest=104|
DENIED|,91|,NONE|,NONE|,0|,0|,['F2', 'F5', 'F1', 'F3', 'F4']|,src=299|, dest=263|
DENIED|,92|,NONE|,NONE|,0|,0|,['F5', 'F2', 'F3', 'F4', 'F1']|,src=118|, dest=251|
DENIED|,93|,NONE|,NONE|,0|,0|,['F4', 'F5', 'F1', 'F2', 'F3']|,src=227|, dest=224|
DENIED|,94|,NONE|,NONE|,0|,0|,['F5']|,src=64|, dest=148|
APPROVED|,95|,R95P1|,29.453551912568305%|,16.08|,16.6|,['F2']|,[4, 302, 356, 308, 327, 372, 349, 145]|
