DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
53,197,16.125094339622642,15.311320754716983,28.802949094776682%,7.452830188679245,[41.77333333333333, 55.77333333333333],142.34107142857144
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
DENIED|,52|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F3', 'F1', 'F5']|,src=510|,dest=366|
DENIED|,53|,NONE|,NONE%|,0|,0|,['F3', 'F5', 'F1']|,src=477|,dest=503|
DENIED|,54|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F3', 'F1', 'F2']|,src=237|,dest=430|
DENIED|,55|,NONE|,NONE%|,0|,0|,['F3', 'F2', 'F4', 'F5', 'F1']|,src=393|,dest=498|
APPROVED|,56|,R56P5|,28.01012536162006%|,17.369999999999997|,19.599999999999998|,['F3', 'F1']|,[333, 46, 18, 17, 16, 15, 39, 38, 300]|
DENIED|,57|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F4', 'F1', 'F5']|,src=502|,dest=354|
DENIED|,58|,NONE|,NONE%|,0|,0|,['F2', 'F5']|,src=509|,dest=285|
DENIED|,59|,NONE|,NONE%|,0|,0|,['F2', 'F5', 'F1', 'F4']|,src=423|,dest=418|
DENIED|,60|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F2']|,src=429|,dest=235|
DENIED|,61|,NONE|,NONE%|,0|,0|,['F2', 'F5']|,src=375|,dest=424|
DENIED|,62|,NONE|,NONE%|,0|,0|,['F5', 'F2', 'F3', 'F4', 'F1']|,src=597|,dest=274|
